Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	2.0345052e-09	-0.0014805216	-4.8828124e-08	-0.02363514	0.41809905	-0.27705646	120.26528	-64.57302	0.79983103	0.0	0.0055632372	-0.16217004	0.07546666	0.005628875	0.0014324988	0.031263195	0.0	0.79983103	0.0	0.0	0.0	1.837877	0.0067014126	30000	100.62448072433472
1	-0.17760658	1.3406327	4.087568	-2.5679722	21.97	22.40645	92.0	0.0	300.0	4961.0	0.08268333333333333	0.25533593	0.20053777	0.9287599	-0.43010235	5.559123	4.0078363	14.66731	-3.1995554	1.4241537e-08	0.003320183	0.0	-0.024157332	0.16975796	-0.045903258	39.050888	-2.831398	0.79026747	0.0	0.009621282	-0.07991703	0.056566663	0.010231763	-0.004421574	0.032024447	0.0	0.79026747	0.0	0.0	0.0	1.8171378	0.0077761686	60000	206.5941994190216
2	-0.40754807	1.2814618	5.78983	-2.7363892	15.36	23.160536	113.0	0.0	300.0	6497.0	0.07218888888888889	0.055835236	0.25563994	1.097699	-0.6038657	4.569343	4.481807	15.851667	-3.7348225	2.0345052e-09	0.0031415506	-8.138021e-09	-0.025156602	0.14255966	-0.01882635	33.103653	-3.9430504	0.79392284	0.0	0.008738451	-0.01758406	0.034533333	0.009260711	-0.004070803	0.031730235	0.0	0.79392284	0.0	0.0	0.0	1.8139148	0.0071614916	90000	313.5345642566681
3	-0.30352628	1.610992	4.2597523	-3.3121786	18.93	24.116905	108.0	0.0	300.0	8390.0	0.06991666666666667	-0.048115198	0.24817674	0.9284041	-0.6396415	5.200408	5.0344152	19.226067	-1.880451	2.0345052e-09	0.004101685	2.2379558e-08	-0.022270782	0.15370819	-0.02735807	36.140125	-2.009678	0.882633	0.0	0.006958889	-0.06398277	0.046433333	0.0076151392	-0.0041045872	0.025672581	0.0	0.882633	0.0	0.0	0.0	1.8161578	0.0073127015	120000	420.44057154655457
4	-0.98298484	1.5282122	3.5057607	-4.014434	14.31	18.560009	104.0	0.0	300.0	9821.0	0.06547333333333333	-0.15418151	0.31544998	1.1816878	-0.8613601	3.2698846	4.319145	20.80147	-2.028095	-1.8310548e-08	0.0011557942	-3.2552084e-08	-0.017217115	0.19250199	-0.038257852	21.750471	-2.9470005	0.95323783	0.0	0.010057143	-0.023755196	0.031033335	0.010217772	-0.0018802931	0.022010366	0.0	0.95323783	0.0	0.0	1.0	1.8070873	0.0061227316	150000	527.5015549659729
5	-0.9497544	1.7301248	3.5378358	-3.8805943	10.16	15.547168	87.0	0.0	300.0	10837.0	0.060205555555555554	-0.30850178	0.32548428	0.9436697	-1.270848	1.9845321	3.6530666	21.198933	-1.7471186	4.0690105e-09	-0.004122693	-2.0345052e-08	-0.015507222	0.18543816	-0.031070992	15.913433	-1.7184496	1.6894447	0.0	0.009052536	0.0031987622	0.017199999	0.009090092	-0.0008131984	0.017608225	1.6822641	1.6894447	1.0	0.0	0.0	1.8161561	0.0066873026	180000	634.6734983921051
6	-0.88524216	1.8174137	5.2338815	-3.967186	10.75	16.222439	82.0	0.0	300.0	11912.0	0.056723809523809524	-0.3500981	0.38296553	1.2048938	-1.3402034	2.1310034	3.8902245	25.53365	-1.1404058	6.1035155e-09	-0.0057598925	-4.0690105e-09	-0.019926576	0.17108183	-0.022736534	15.822575	-1.0639334	1.1886451	0.0	0.010066787	0.0051271114	0.019166667	0.010320374	-0.0025027222	0.024700051	1.4012288	1.1886451	1.0	0.0	0.0	1.8074472	0.008575836	210000	742.4627776145935
7	-0.72009325	2.0502338	4.2174597	-3.9871173	8.01	13.066365	76.0	0.0	300.0	12713.0	0.052970833333333335	-0.3206321	0.4527805	1.5535358	-1.572842	2.0767636	3.5880167	22.441126	-0.79974765	-6.1035155e-09	-0.009009069	1.1189779e-08	-0.01071913	0.20157596	-0.026385263	14.270561	-3.4826612	0.4935905	0.0	0.0075244643	0.015324596	0.010033334	0.008125422	-0.0035971422	0.02153136	0.700718	0.4935905	1.0	0.0	0.0	1.7935921	0.008607687	240000	854.935314655304
8	-0.25241128	1.9226384	4.3055973	-3.4590442	9.07	14.575497	76.0	0.0	300.0	13620.0	0.050444444444444445	-0.27267343	0.46660537	1.7054596	-1.4238976	1.4650629	2.435707	15.788005	-1.0669347	1.0172526e-09	-0.0065217894	-6.1035155e-09	-0.0136333555	0.21083876	-0.052176923	12.807647	-1.0664768	1.2382387	0.0	0.009171877	0.006991847	0.013566665	0.009449415	-0.0019816488	0.014149158	1.1453366	1.2382387	1.0	0.0	0.0	1.7737836	0.008484511	270000	967.9111242294312
9	0.27145278	1.858298	4.5816994	-3.8661737	11.87	17.408995	96.0	0.0	300.0	14807.0	0.04935666666666667	-0.06878701	0.5301203	1.7137996	-1.7122681	2.019402	3.3013282	23.579628	-0.94752026	-7.1207684e-09	0.0024964388	-8.138021e-09	-0.016988043	0.2688542	-0.04833688	21.497334	-2.5108376	1.0141844	0.0	0.005991954	-0.0069696293	0.0229	0.006424438	-0.0028999008	0.019444464	0.0	1.0141844	0.0	0.0	1.0	1.7704343	0.0059271003	300000	1080.0883574485779
