Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	2.0345052e-09	-0.0014805216	-4.8828124e-08	-0.02363514	0.41809905	-0.27705646	120.26528	-64.57302	0.79983103	0.0	0.0055632372	-0.25132254	0.092099994	0.005628875	0.0014324988	0.031263195	0.0	0.79983103	0.0	0.0	0.0	1.837877	0.0067014126	30000	83.52464008331299
1	-0.17760658	1.3406327	4.087568	-2.5679722	21.97	22.40645	92.0	0.0	300.0	4961.0	0.08268333333333333	0.25533593	0.20053777	0.9287599	-0.43010235	5.559123	4.0078363	14.66731	-3.1995554	1.4241537e-08	0.003320183	0.0	-0.024157332	0.16975796	-0.045903258	39.050888	-2.831398	0.79026747	0.0	0.009621282	-0.14731717	0.073199995	0.010231763	-0.004421574	0.032024447	0.0	0.79026747	0.0	0.0	0.0	1.8171378	0.0077761686	60000	170.5913200378418
2	-0.40754807	1.2814618	5.78983	-2.7363892	15.36	23.160536	113.0	0.0	300.0	6497.0	0.07218888888888889	0.055835236	0.25563994	1.097699	-0.6038657	4.569343	4.481807	15.851667	-3.7348225	2.0345052e-09	0.0031415506	-8.138021e-09	-0.025156602	0.14255966	-0.01882635	33.103653	-3.9430504	0.79392284	0.0	0.008738451	-0.062508926	0.051166665	0.009260711	-0.004070803	0.031730235	0.0	0.79392284	0.0	0.0	0.0	1.8139148	0.0071614916	90000	259.0632436275482
3	-0.30352628	1.610992	4.2597523	-3.3121786	18.93	24.116905	108.0	0.0	300.0	8390.0	0.06991666666666667	-0.048115198	0.24817674	0.9284041	-0.6396415	5.200408	5.0344152	19.226067	-1.880451	2.0345052e-09	0.004101685	2.2379558e-08	-0.022270782	0.15370819	-0.02735807	36.140125	-2.009678	0.882633	0.0	0.006958889	-0.1349281	0.06306667	0.0076151392	-0.0041045872	0.025672581	0.0	0.882633	0.0	0.0	0.0	1.8161578	0.0073127015	120000	342.9151248931885
4	-0.98298484	1.5282122	3.5057607	-4.014434	14.31	18.560009	104.0	0.0	300.0	9821.0	0.06547333333333333	-0.15418151	0.31544998	1.1816878	-0.8613601	3.2698846	4.319145	20.80147	-2.028095	-1.8310548e-08	0.0011557942	-3.2552084e-08	-0.017217115	0.19250199	-0.038257852	21.750471	-2.9470005	0.95323783	0.0	0.010057143	-0.08322915	0.04766667	0.010217772	-0.0018802931	0.022010366	0.0	0.95323783	0.0	0.0	1.0	1.8070873	0.0061227316	150000	425.66321659088135
5	-0.9497544	1.7301248	3.5378358	-3.8805943	10.16	15.547168	87.0	0.0	300.0	10837.0	0.060205555555555554	-0.30850178	0.32548428	0.9436697	-1.270848	1.9845321	3.6530666	21.198933	-1.7471186	4.0690105e-09	0.0012670227	-2.0345052e-08	-0.017222725	0.18543816	-0.031070992	15.913433	-1.7184496	1.0657543	0.0	0.009052536	-0.045009073	0.033833332	0.009090092	-0.0008131984	0.017608225	0.0	1.0657543	0.0	0.0	0.0	1.8161561	0.0068171243	180000	514.0465896129608
6	-1.2635944	1.5861686	3.0803049	-4.198379	10.37	16.766428	77.0	0.0	300.0	11874.0	0.056542857142857145	-0.36618134	0.3636741	1.3071607	-1.3362912	1.8177086	3.6825476	25.55352	-1.1389452	1.1189779e-08	0.0014444784	1.2207031e-08	-0.019885914	0.16181637	-0.027143553	14.7488165	-1.2981977	1.0252193	0.0	0.010035388	-0.042673048	0.034533333	0.010109885	-0.0011905968	0.019028133	0.0	1.0252193	0.0	0.0	0.0	1.8101377	0.007696592	210000	602.5467858314514
7	-1.6045026	1.6945741	3.371507	-4.779812	7.73	13.555703	68.0	0.0	300.0	12647.0	0.05269583333333333	-0.42213657	0.33020827	0.9483112	-1.6708028	1.6287293	3.589656	22.713144	-0.81924194	4.0690105e-09	0.00202074	1.2207031e-08	-0.018158922	0.18053386	-0.027452216	10.921995	-1.4569569	1.1025252	0.0	0.008511135	-0.020247553	0.025733333	0.00855876	-0.0008852034	0.016453285	0.0	1.1025252	0.0	0.0	0.0	1.793185	0.009638051	240000	686.4380288124084
8	-1.7234606	1.5453746	5.078596	-4.0914583	6.8	11.523021	54.0	0.0	300.0	13327.0	0.04935925925925926	-0.45368463	0.36429366	1.1217179	-1.8255227	0.8770814	2.3230722	20.572363	-0.58946973	-5.086263e-09	0.0013617503	-9.6639e-09	-0.01449808	0.15483092	-0.018448949	8.279464	-0.7383809	1.1128255	0.0	0.00905167	-0.011719147	0.022633335	0.009203873	-0.0015678261	0.016150113	0.0	1.1128255	0.0	0.0	1.0	1.7643445	0.0073293154	270000	769.6788885593414
9	-1.743056	1.3176857	2.2176476	-3.9649239	5.72	10.104534	56.0	0.0	300.0	13899.0	0.04633	-0.4222961	0.39161763	1.4940428	-1.9340606	1.0379987	2.6712813	22.586765	-1.304726	0.0	-0.0031995259	4.0690105e-09	-0.01793687	0.15519646	-0.03130223	7.0676813	-0.7708335	2.2149904	0.0	0.0075833416	0.0014181894	0.019033333	0.0076186443	0.00082961144	0.019495826	2.3124013	2.2149904	1.0	0.0	0.0	1.7628788	0.008955777	300000	852.6493113040924
